"","State","IFR_UK","IFR_Peru","IFR_UK_poorer","IFR_Peru_poorer"
"1","AC",0.003803468119464,0.00388249692371086,0.007751970520996,0.00775936942792459
"2","AL",0.00512614976172966,0.00527257288414571,0.0106171846599872,0.0106788680836111
"3","AM",0.00370381599677649,0.00376168584758286,0.00787775996420193,0.00785237212556227
"4","AP",0.00343061616444619,0.00349037247168403,0.00734042851364634,0.00732488017799792
"5","BA",0.00591305320569885,0.00615506101262935,0.0110228165727705,0.0112027344305874
"6","CE",0.00583331469507329,0.00609225180002312,0.0107011317403316,0.0109094640335776
"7","DF",0.00515219880659799,0.00528361240729976,0.00515219880659799,0.00528361240729976
"8","ES",0.00630138635204521,0.00653433974132362,0.00874511945381515,0.00894510983172715
"9","GO",0.0054566180608911,0.00560831829688831,0.00858873490941499,0.00868978817413952
"10","MA",0.00480640156576828,0.00497600723498957,0.0103388023441447,0.0104327864562268
"11","MG",0.00691083435346304,0.00721842889178262,0.0101367975747064,0.0104119889878791
"12","MS",0.00576323337383746,0.0059415559652353,0.00789241987684569,0.00803697742376814
"13","MT",0.00498911795522228,0.00508590656472987,0.00753240931099386,0.00758038253042896
"14","PA",0.0042351765792818,0.00432587213646171,0.00889767100596155,0.00890604576676544
"15","PB",0.00621722000985039,0.00650640146028029,0.0113197061813051,0.011555964551284
"16","PE",0.00579843806750097,0.00601325136649943,0.0105594241640668,0.0107106316545931
"17","PI",0.0056647800620718,0.005858566403811,0.0110200436139154,0.0111396863263202
"18","PR",0.00661238386945186,0.00685333509043417,0.00836065490976567,0.00857885661123224
"19","RJ",0.00726232409647952,0.00757507443389387,0.00762415134715748,0.00793304289784407
"20","RN",0.00595048303954099,0.00621978711772465,0.0103688300886115,0.0105907271589804
"21","RO",0.00448149652118931,0.0045436379307208,0.00809982820875393,0.00808992918329739
"22","RR",0.00334564229335354,0.00338126909996315,0.00674045476953424,0.00670884553200442
"23","RS",0.00776533635255119,0.00811818002421731,0.00836762420138374,0.0087149003822191
"24","SC",0.0064567941005626,0.00667397620752381,0.00740768837032565,0.00761215243938302
"25","SE",0.00513895231721812,0.00528892795859188,0.00962195222751096,0.00970382352613776
"26","SP",0.00672279267263354,0.00698757883886452,0.00672279267263354,0.00698757883886452
"27","TO",0.00492588872206467,0.00507489109620529,0.00887385462900001,0.00896213164656797
"28","MANAUS",0.00370381599677649,0.00376168584758286,0.00787775996420193,0.00785237212556227
