month,period,date,prevalence,lower,upper
February,7th-13th,2020-02-10,0,0,0
March,6th-12th,2020-03-09,0.7,0.2,1.5
April,6th-17th,2020-04-12,4.796414975,3.456765783,6.345481106
May,5th-14th,2020-05-10,45.59119016,41.15648494,50.12834387
June,5th-15th,2020-06-10,65.49511364,61.27958284,73.34950375
July,6th-15th,2020-07-11,67.37313444,62.90981697,82.37616495
August,8th-19th,2020-08-14,67.49894556,63.61188506,84.03820574
September,5th-14th,2020-09-10,74.08822328,67.0792818,95.36524545
October,10th-17th,2020-10-14,78.28855432,69.79853814,102.0143827
November,NA,2020-11-10,81.62976765,72.20230119,108.6688102
